# report_at,lat,lon,elev,dir,active,gps
2013-05-31 01:17:51,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:19:52,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:21:53,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:23:54,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:26:04,44.0349998,-92.4769974,929,0,0,1
2013-05-31 01:47:00,44.0349998,-92.4759979,891,106,0,1
2013-05-31 01:49:00,44.0349998,-92.4759979,891,106,0,1
2013-05-31 01:51:01,44.0349998,-92.4759979,891,106,0,1
2013-05-31 01:53:02,44.0349998,-92.4759979,891,106,0,1
2013-05-31 01:55:03,44.0349998,-92.4759979,891,106,0,1
2013-05-31 01:57:04,44.0349998,-92.4759979,891,106,0,1
2013-05-31 01:59:05,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:01:15,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:03:10,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:05:08,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:07:09,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:09:10,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:11:11,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:13:12,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:15:16,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:17:17,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:19:18,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:21:19,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:23:20,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:25:21,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:27:22,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:29:23,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:31:24,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:33:25,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:35:26,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:37:36,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:39:31,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:41:32,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:43:39,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:45:31,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:47:34,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:49:34,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:51:35,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:53:36,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:55:37,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:57:38,44.0349998,-92.4769974,924,106,0,1
2013-05-31 02:59:42,44.0349998,-92.4769974,924,106,0,1
2013-05-31 03:58:53,44.0349998,-92.4769974,924,106,0,1
2013-05-31 04:01:29,44.0349998,-92.4769974,0,0,0,0
2013-05-31 18:55:24,44.0029984,-92.4800034,0,0,0,0
2013-05-31 19:37:03,44.0349998,-92.4769974,0,0,0,0
2013-05-31 19:54:15,44.0349998,-92.4769974,789,0,0,1
2013-05-31 19:56:16,44.0349998,-92.4769974,789,0,0,1
2013-05-31 19:58:17,44.0349998,-92.4769974,789,0,0,1
2013-05-31 20:12:25,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:14:27,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:16:28,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:18:29,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:20:30,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:22:31,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:24:32,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:26:33,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:28:37,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:30:35,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:32:36,44.0349998,-92.4769974,920,0,0,1
2013-05-31 20:34:38,44.0349998,-92.4769974,920,0,0,1
2013-05-31 21:04:58,44.0349998,-92.4769974,938,0,0,1
2013-05-31 21:06:59,44.0349998,-92.4769974,938,0,0,1
